,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
A B B India Ltd.,ABB,64543.2,64014.1,277.3,,60159.9,46942.94,4904.1,5.6,28336.3,47239.8,38893.5,2724.8,19.88,1512.25
A C C Ltd.,ACC,82928.1,78666.2,1223.4,2014.3,68611.5,28766.43,14385.9,3064.1,15549.2,71195.7,17759.3,20217.5,4.63,1024.8
Allahabad Bank,ALBK,54675.4,,54005.5,0.6,47174,5299.07,7501.4,18390.5,18042,676759.4,64422,10039.6,0.9,72.65
Alok Industries Ltd.,ALOKTEXT,20065.3,19153.1,868.1,,19071.1,13486.36,1647.5,33367.6,2554.6,47998.1,19263.3,1558,0.95,57.05
Andhra Bank,ANDHRABANK,38388.9,,35908.2,3.7,33638.1,4811.92,4750.8,12135.3,15921.7,475579,48370,23085.9,1.17,76.05
Ashok Leyland Ltd.,ASHOKLEY,86258.6,85139.3,895.5,90.3,83113.4,62231.2,3635,6404,16304.3,45250.2,20893.5,4997,2.72,38.4
Aurobindo Pharma Ltd.,AUROPHARMA,21092.7,19910.3,888.3,41.2,19526.8,15651.42,2290.8,19775,3216.9,33696.4,17517.2,475.3,3.9,678.55
Bank Of Baroda,BANKBARODA,104381.1,,99281.3,131.3,94116.5,14305.13,10264.6,38616.6,48745.3,1431461.8,222118.9,91623.8,0.91,215.05
Bank Of India,BANKINDIA,104992.3,,99784.1,159.5,93760.6,13011.32,11231.7,113797.8,50601.1,1422470.2,191873,83534.4,1.42,167.8
Bharat Electronics Ltd.,BEL,41473,39642.8,1304.7,9,34936.5,27486.09,7137.1,17.2,28290.8,69095.4,54091.8,3503.6,4.64,1504
Bharat Forge Ltd.,BHARATFORG,21104.5,20270.7,730.1,1.8,18878.3,12950.2,2450.9,14016.2,5756.9,37345.8,13776.2,2956.9,5.34,315.55
Bharat Heavy Electricals Ltd.,BHEL,200956.7,190670.2,4354.9,11.5,178621.6,121716.86,24147,893.3,117328.6,286520.3,220147.5,28213.7,6.3,2261.35
Bharat Petroleum Corpn. Ltd.,BPCL,1082455.4,1074522.7,4809.7,,1066456,905475.39,18053.8,108292.3,102006.2,342407.2,125475.2,46035.6,1.07,302.75
Bharti Airtel Ltd.,BHARTIARTL,180055.8,178516.1,549.3,24.1,139732.2,97075.2,40332.3,53107.9,94294.2,284464.4,33296.9,81079.5,12.66,763.9
Bongaigaon Refinery & Petrochemicals Ltd. [Merged],BONGAIREFN,66147.2,65651.4,204.6,,64618.1,51294.56,1849.8,1046.7,4729.7,21918.8,10344.7,1664.5,0.83,40.65
C E S C Ltd.,CESC,26288.8,25747.7,489.9,,23281.8,17678.51,3007,18987.3,15487.8,76607.1,13885,10388.4,1.59,376.95
Canara Bank,CANBK,128763.6,,122072.2,4.9,114555.5,13763.15,14208.1,78250.7,52628.6,1660990.8,188578.2,84547.9,0.98,194.75
Century Textiles & Inds. Ltd.,CENTURYTEX,36358.2,35866.1,142.2,79.2,33573,19329.57,2728.1,13003.8,4128.5,32167.8,8212.5,3078.7,5.06,545.55
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,26361.5,25977.1,93.1,230.5,25644.4,18992.44,1511.3,20299.8,1368.1,36558.3,10011.8,-1270.3,1.27,31.3
Chennai Petroleum Corpn. Ltd.,CHENNPETRO,294732.7,294255.4,333.8,2.8,292963.5,232803.41,5652.7,18341.3,24744.1,84791.3,42924.8,14091.9,1.06,187.7
Cipla Ltd.,CIPLA,37637.2,36579.5,629.1,18.9,30649.6,24300.91,6680.3,1235.6,5281.3,44140.5,22009.5,3126.2,5.7,236.8
Corporation Bank,CORPBANK,40700.4,,38037.7,0.3,35339,3581.44,5361.4,33210.1,29893.1,527430.6,76166.1,52111.2,1.1,289.25
Cummins India Ltd.,CUMMINSIND,21578.2,20684.9,637.7,,19394.5,14536.59,2420.5,84.8,3062.4,13876.3,7471,1670.2,5.64,264.8
Dabur India Ltd.,DABUR,16617,16415.7,77.2,44,14319.4,9292.67,2519.5,192.8,2784.9,8040.5,2706.5,2350.6,20.33,95
Divi'S Laboratories Ltd.,DIVISLAB,7438.6,7404.1,6.4,,5391.5,4402.42,1917.5,1539.5,1239.3,8521.3,3919.4,1859.5,7.32,3074.8
Dr. Reddy'S Laboratories Ltd.,DRREDDY,43752.8,41966.9,847.1,45.6,32216.6,21020.2,11768.6,3299,6334.3,58188,30217.1,8884.2,2.8,728.25
Escorts Ltd.,ESCORTS,21556.2,21126.9,220.7,1.3,21473.1,17855.68,-64.4,5255.8,6021.7,27250.6,8031.4,-417.5,1.48,118.85
Essar Oil Ltd.,ESSAROIL,4843.7,4739.8,23.7,31,5518.6,4813.03,-674.9,85714.4,39704.8,156112.7,42383.4,-3904.7,2.12,51.8
Federal Bank Ltd.,FEDERALBNK,21199.4,,20095.6,676,18272.1,2226.83,2927.3,12402.1,5482.6,251706.5,26302.2,10589.4,1.24,216.25
G A I L (India) Ltd.,GAIL,174698.8,165458.5,4606.4,5.8,151584.7,117584.69,23866.7,13378.5,25855.9,187728.9,41652.6,14593.6,1.96,264.55
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,20639.9,17613.9,712.7,2029.3,15095.5,8254.2,5376.5,57.7,2447.8,35273.2,4346.6,2701.3,6.39,1027.2
Grasim Industries Ltd.,GRASIM,99035.4,96271.3,2049,60.7,83502.5,46515.65,15358.1,29515.6,12668.6,112619.9,15188.2,16716,3.08,2092.9
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,30040.5,29613.2,101.8,133.7,27283.5,19605.09,3264.7,3515.8,4424.5,33893.3,11300.7,2028.3,0.92,92.95
H C L Technologies Ltd.,HCLTECH,42080.4,37707,4362,2.7,31062.8,13905.23,11017.6,408.9,10030.2,49057.3,14928.9,9887.6,6.66,343.95
H D F C Bank Ltd.,HDFCBANK,84836.1,,84676.5,,73421.6,8384.27,11414.5,60979.9,97910.1,913192.9,120120.2,30142,4.74,954.15
Hindustan Petroleum Corpn. Ltd.,HINDPETRO,1028087.4,976884,5214.1,,1014813.1,883920.62,15709.8,105175.3,88917.7,318611.7,107027.9,37875.1,0.88,247.8
Housing Development Finance Corpn. Ltd.,HDFC,59148.6,72.1,58823.9,108.4,43444.8,930.21,15703.8,571930.3,14849.7,656260.4,16629.2,15789.9,6.93,1519.8
I C I C I Bank Ltd.,ICICIBANK,299572.3,,297708.4,1152.2,268470.1,17774.41,31102.2,706611.4,164766.1,3453124.5,458414.5,193245.8,3.16,853.35
I D B I Bank Ltd.,IDBI,76909.9,,72612.2,1786.2,70606.8,3440.15,6303.1,476750.8,40643.7,1038392.9,107762.6,56246.3,0.9,77.6
I D F C Ltd.,IDFC,15409.3,,15005.6,,10780.6,303.78,4628.7,148889.9,3696.9,182781.4,11344.7,1204.4,3.27,83.7
I F C I Ltd.,IFCI,25233,2090.8,19976.5,7.1,16495.9,373.52,8737.1,129242.8,7513.9,200489.2,30875.3,3026,132.3,33.6
I T C Ltd.,ITC,200074.3,195050.6,2461.1,,175668.3,66146.49,26999.7,2008.8,23961.7,152522.7,49313.8,20016.3,5.48,151.15
I V R C L Ltd.,IVRCLINFRA,23791,23348.8,374.3,1.3,22376.4,19983.78,1414.6,5561.2,9092,28919.1,12760.8,-1259.6,2.88,292.5
Igate Computer Systems Ltd. [Merged],PATNI,13691.9,11716.7,1582.3,13.3,9816.7,5132.76,3875.2,23.8,2449.5,31817.4,6016,4197.6,1.81,332.4
India Cements Ltd.,INDIACEM,26230.4,26131.1,22.1,67.4,21487.2,9607.64,4788.3,20587.5,4035.2,47628.8,7402.1,6430.6,2.57,161.95
