,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,31 Jul 2009,30 Jun 2010
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
A B B India Ltd.,ABB,74706.60,73709.80,639.40,46.00,69970.30,54692.43,0.20,31618.90,56082.30,44661.50,196.70,4.57,65729.00,65151.90,183.30,,62617.50,50339.99,,29869.30,57812.20,45953.70,3544.90,6.75,148463.01,182855.74
A C C Ltd.,ACC,86199.30,82746.10,1367.90,122.90,74074.70,32528.70,4820.30,18017.90,86462.20,21054.60,17070.50,1.83,90089.60,88031.70,803.80,,74309.70,33089.00,5669.20,19639.10,102436.90,17832.60,23970.80,2.72,165327.41,164858.85
Aban Offshore Ltd.,ABAN,7387.80,6858.40,478.70,,5796.80,2597.14,14563.20,1247.20,27093.60,2846.20,1983.00,16.12,12296.10,10069.20,2103.90,26.90,9698.50,3527.75,30829.90,2216.20,46604.60,5076.80,4479.00,1.64,39270.92,36649.62
Aditya Birla Nuvo Ltd.,ABIRLANUVO,42600.40,41355.60,225.20,326.40,41001.40,28714.12,27434.20,5591.10,76938.30,16361.30,2787.10,3.64,51227.50,50009.40,542.30,58.30,50032.10,36394.27,44992.10,6770.40,96006.70,17255.90,4351.80,1.13,83104.63,78230.66
Allahabad Bank,ALBK,73059.20,,72772.30,,63311.80,5880.15,36538.90,24385.20,829435.30,84237.60,53346.70,0.79,87075.70,,86727.30,0.40,79389.70,7259.74,38489.30,29624.60,976577.70,77687.70,62218.40,0.35,39532.95,72477.07
Ambuja Cements Ltd.,AMBUJACEM,76302.10,70898.90,4832.30,226.60,62905.60,26733.04,2886.70,10032.40,78533.70,20472.70,9755.80,1.88,79959.60,77639.30,608.60,610.60,67281.50,33188.39,1657.00,10670.50,89013.70,17869.30,21025.00,2.45,165230.88,175190.36
Andhra Bank,ANDHRABANK,48548.20,,45985.90,2.40,42792.50,4504.35,17055.10,20510.50,566243.50,67320.50,21206.40,1.10,61576.80,,58631.50,3.40,55046.30,5552.67,33512.40,18876.20,685292.30,63845.50,7643.50,0.60,44765.50,63001.50
