,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,06/07,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,06/08,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,31 Jul 2008,31 Jul 2009
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
3I Infotech Ltd.,3IINFOTECH,5230.5,3323.7,120.1,1497.4,4587.6,2259.86,5334.2,812.8,11590.4,3035.1,1127.2,3.78,5708.4,4472.7,148.9,,4703.8,2210.03,12401,913.7,21241.4,3592.6,1993.5,2.37,14080.66,10109.38
A B B India Ltd.,ABB,64543.2,64014.1,277.3,,60159.9,46942.94,5.6,28336.3,47239.8,38893.5,2724.8,19.88,74706.6,73709.8,639.4,46,69970.3,54692.43,0.2,31618.9,56082.3,44661.5,196.7,4.57,163444.93,148463.01
A C C Ltd.,ACC,82928.1,78666.2,1223.4,2014.3,68611.5,28766.43,2903.8,15549.2,71195.7,17759.3,20217.5,4.63,86199.3,82746.1,1367.9,122.9,74074.7,32528.7,4820.3,18017.9,86462.2,21054.6,17070.5,1.83,109475.92,165327.41
A I A Engineering Ltd.,AIAENG,4370.7,4282.7,79.6,0.5,3871.6,2786.17,,375.5,5553.5,1828.8,410.7,5.3,6671.9,6400.8,259.1,0.9,5694.3,4193.74,,424.7,7061.7,2458.5,56.5,5.39,23954.63,21236.23
Aban Offshore Ltd.,ABAN,5645.8,4967.1,554.5,119.1,4649.8,2160.66,10175.8,932.7,18976.4,3060.5,1888.8,20.99,7387.8,6858.4,478.7,,5796.8,2597.14,11292.5,1247.2,27093.6,2846.2,1983,16.12,94595.82,39270.92
Aditya Birla Nuvo Ltd.,ABIRLANUVO,36930.9,35502.4,789.1,54.3,35133.1,24765.47,18208.1,3937.3,66167.8,11010.1,4832.9,3.2,42600.4,41355.6,225.2,326.4,41001.4,28714.12,16302.9,5591.1,76938.3,16361.3,2787.1,3.64,126104.18,83104.63
Allahabad Bank,ALBK,54675.4,,54005.5,0.6,47174,5299.07,18390.5,18042,676759.4,64422,10039.6,0.9,73059.2,,72772.3,,63311.8,5880.15,23688.9,24385.2,829435.3,84237.6,53346.7,0.79,26556.31,39532.95
