,,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Annual Finance Standalone
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.,Rs.,Rs. Million
,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,01 Jul 2011,29 Jun 2012,Jul-09
Company Name,Total income,Net sales,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Income from financial services,Current liabilities,Total term liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Net sales,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Income from financial services,Current liabilities,Total term liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Adjusted Closing Price ,Adjusted Closing Price ,Total assets
3I Infotech Ltd.,9508.8,5195.3,291.9,3339.7,10504.9,3627.36,97.9,1626.2,8618.5,29450.5,4031.7,1948,1.67,9177.8,5479.2,,20.7,7983.9,3740.88,93.4,3015,13333,33102.7,4291.9,2337.3,0.87,47.3,9.85,27428.2
A B B India Ltd.,66952.3,62947.7,,41.9,66417.7,54491.6,133.1,31630.6,,60502.9,47790.6,2206.8,6.96,78176.8,74191.9,0,35.3,77175.1,62534.57,414.6,35269.8,0,66765.3,50434.4,1180.8,4.88,865.65,802.15,57812.2
A B G Shipyard Ltd.,19231.3,18076.7,51.9,29,18399.9,12302.64,979.9,9747.1,14593.4,53942.3,11643.3,-2923.3,1.19,21937.1,20770.9,10,1.5,17305.6,14341.46,1131.6,34377.1,10128,76049.5,37480.8,14872.6,1.49,358.45,378.2,42052.5
A C C Ltd.,90486.1,75512.8,,383.7,79842.5,37336.71,1011.2,22505.5,5138.9,122387.3,21366,19353.8,3.12,111455.6,92517.8,0,94.4,99132,44727.8,1919.1,25949.3,5107.3,121652.6,30066.9,14738.9,2.97,955.2,1268.05,102436.9
Aban Offshore Ltd.,13638.4,11795.5,,0.1,10834,3036.45,1799.5,2758.3,28917.6,57131,3037.1,7012.9,2.74,12673.2,11887.8,4.1,,10333.7,3251.58,709.1,2806.6,25022.7,56723.2,4232.9,5625.1,1.32,513.7,389.75,46604.6
Adani Enterprises Ltd.,117750.8,114317.5,68.1,8.5,114567.8,105095.7,2945.9,17222.8,15926.8,80636.4,34617.6,6630,12.67,34628.1,29087.7,65.6,557.7,34159.6,25407.64,5051.6,8874.7,7968.1,116502.3,17071.5,-4074.6,7.5,701.8,222.4,67058.2
Adani Ports & Special Economic Zone Ltd.,15643.3,12830.7,41.3,,8633.5,4588.97,2657.3,9782.4,14138.2,80770.3,11116.1,10350.5,9.08,20052.9,17289.6,329.1,,10191.3,6285.39,2338.8,10415.7,15476.3,85106.2,5650.1,12591.6,6.38,162.35,121.15,65245.8
Adani Power Ltd.,4667.9,4348.6,,,2959.9,2227.35,319.3,12390.9,26948.3,168386.1,12999.9,-163.3,4.36,21942.8,20576.5,6.6,,16705.3,9212.45,865.5,14983.8,153418.3,259012.2,13327.8,14502,3.89,109.75,49.95,78258.7
Aditya Birla Nuvo Ltd.,50834.1,48304.8,6.6,71.3,47968.5,34726.98,603.3,8890.3,23863.3,98850.9,15991.4,10647.6,2.07,68044.9,64500.4,,8.1,65873.8,47059.87,586.5,11858.9,17954.8,102486.5,24919,3321.1,1.71,904.5,806.95,96006.7
Allahabad Bank,103268.9,,,5.6,91205.6,8484.54,100582.3,34311.1,54354.7,1217041,103112.5,102817,1.08,124765.6,,0.4,0.4,110534.5,12469.8,121377.4,38977.7,66060.1,1512910.5,122887.4,53608.3,1.43,195,149.65,976577.7
Alok Industries Ltd.,45991.6,44409,16,828.4,46856.4,29031.26,731.7,4875.5,71183.4,121964.3,41887.3,1845.5,0.64,67553.5,65123.6,,17.4,65735.4,44901.24,1196.5,6616.6,77370.9,142969.7,50258.1,11260.8,0.56,25.9,17.61,91668.5
Alstom India Ltd.,21228.5,20398,2.6,,20925.2,16037.05,227.2,21926.2,0,30796.2,21079.2,3440.3,8.47,19033.7,15719,2481.2,2729.1,17345.6,11092.15,419.1,21153.5,15.1,31967.7,20845.3,2739,6.71,526.05,391.35,29136
Alstom T & D India Ltd.,42843.2,40167.4,0.2,,42202.1,32296.15,1.7,16258.6,4360,49659.8,33017.7,1093.2,7.75,44595.5,41241.6,149.9,,43818.6,33505.4,34.5,21501.3,3096,42492.1,27832.6,2521.1,5.13,258.8,195.2,41802.1
Ambuja Cements Ltd.,87318,73838,399.1,32.7,75217.6,34430.31,1812.4,12976.1,565,103942.2,28300.6,18501.1,2.99,100661.3,85280,332,362.2,87794.4,41263.26,2108.4,15881.9,493.6,116317.4,35178.6,14830.5,2.95,129.45,174.05,89013.7
Andhra Bank,73795.6,,5.5,,63337.1,7196.75,70053.7,21191.8,58524.4,904308.1,122195.5,79315.7,1.19,91885,,8.6,532,79214.3,7999.65,87660.8,21036.9,76397.4,1091092.4,115164.9,2441.3,1.3,132.95,118.4,685292.3
Apollo Tyres Ltd.,54792.9,50382.8,,39.3,50904.7,37795.56,240.5,6904.6,8199.7,44616.8,9582,7026.6,2.07,60755.4,54693.6,161.1,,62860.1,45221.58,263.9,10223.7,10719.1,58032.5,15610,1533.1,1.85,79.6,79,31626.2
Ashok Leyland Ltd.,81672.4,74306.2,52.7,112.6,79954.1,61568.25,814.9,25920.7,21372.3,93230.5,32228,10673.2,3.2,124372.4,114013,18.9,33.3,119814.8,95024.83,293.3,31227.9,25382.7,106173.8,37728.4,8804.7,2.85,24.23,24.9,79261.8
Asian Paints Ltd.,59520.7,53455.9,70.2,,53070.8,32009.05,1215.7,11585.7,659.6,46233.9,11981,8482.2,12.56,73219.6,66051.6,19,1,67043.5,41162.01,433.5,11952.7,617.6,38891.7,15631.1,7432.5,12.27,331.39,388.86,33557.2
Aurobindo Pharma Ltd.,34404.2,32491.1,92.6,,30621.4,23640.64,980.4,5951.5,9304.1,46340.4,22200,3463.8,2.79,42870,41265,2.4,0,38295.8,30092.56,490.2,7746.1,10968,58826.8,29777.6,2445.7,2.22,85.28,55,41474.1
Axis Bank Ltd.,156123.3,,,38.7,130978,13380.07,154301.7,51013.9,171695.5,1806805.3,184339.8,51840.7,2.95,197942.6,,,69.8,164057.7,17302.86,194608.6,68448.7,252678.8,2427460.3,251837.8,149622.5,3.03,261.83,203.15,1477588.4
B E M L Ltd.,31179.6,28519.1,0.8,,30461,22356.42,231.2,8922.5,1442.1,44595.9,36108.3,896.9,2.15,30443.9,26197.3,0,0.2,30426.2,21471.29,399.2,9706.5,1443.1,43103.9,32535.7,-1583.4,1.33,589.35,377.35,41944.6
B G R Energy Systems Ltd.,31009.3,30681.3,,1.3,28980.4,22929.29,201.8,18898,489.7,38177.3,29075.1,3256.6,5.5,47802.7,47488.6,,0.3,44593.2,39754.47,185.5,23842.5,538.8,52482.7,41715.2,-1942.4,3.62,468.25,302.1,26737.2
Bajaj Auto Ltd.,126750.4,117729.9,98.7,34.2,110225.3,89041.44,1487.6,20241.8,13255.8,87389,29691.6,27039,9.95,187525.9,163697,8388.1,201.2,154956.5,127995.18,5064.4,24255.8,1677.3,94194.8,26969.9,14857.8,8.62,1423.15,1572.85,60473.6
Bajaj Hindusthan Sugar Ltd.,32403.9,28709.9,2.5,1,39402.1,24974.45,1976.3,17169.5,52031.3,111049.7,25641,-6755.1,0.81,52034.9,49253.5,,27.1,43030.2,41985.82,1257.8,13270.5,37724,102317.8,17336.9,15792.3,0.78,60.34,29.65,65439.5
Bajaj Holdings & Invst. Ltd.,8523.5,3.3,,52.6,862.8,11.48,8257.6,285.6,,65223.1,77.1,6775.4,1.68,10788.3,1.3,,,787.4,18.59,10743.2,254.8,,50913.7,2235,6917.8,1.92,737.9,780.85,54876
Balrampur Chini Mills Ltd.,30925.8,29277.5,32,182.3,41255.9,23935.44,164.4,2395,7166.8,39896.1,17668.9,-6318.8,1.39,30925.8,29277.5,32,182.3,41255.9,23935.44,164.4,2395,7166.8,39896.1,17668.9,-6318.8,1.39,62.65,51.75,27653.5
Bank Of Baroda,200509,,12.6,12.1,169925.7,20148.2,191387.7,79096,132418.9,2783166.9,385207.9,203656.7,1.54,249754.1,,13.7,15.5,207337.3,21933.46,239231.2,64688.6,221933.7,3583971.8,532443.1,149301.8,1.91,174.16,146.58,2266722.3
Bank Of India,204946.2,,,,187535.5,18203.9,199587.7,80003.1,223081.2,2749664.7,342631.7,187269.3,1.4,243934.9,,,,219047.8,26977.12,237835.7,122682.7,218429.6,3511725.6,466900.2,260194.2,1.63,414.2,347.05,2259316.6
Bata India Ltd.,12938.8,12488.4,3.3,6.4,12212.9,8553.9,84.7,3269.1,,8111,4740.4,1628.4,6.4,16959.9,15281.8,25,0,15598.2,10208.77,1188.1,2782.5,,9242.1,5497.5,697.9,6.25,305.25,433.15,6158.9
Bharat Electronics Ltd.,55953.8,51960.2,34.2,313.5,49122.6,39885.07,2406.2,44310.3,7.3,109182.2,87168.5,10277.4,4.05,59434.5,55163.4,13.6,,50913.4,41554.14,2726.7,75850.3,4.1,156926.5,123718.9,30175.3,2.69,540.97,446.83,100810.5
Bharat Forge Ltd.,19817.8,18430.3,,0.6,18818.4,13452.51,371,7032.2,17418.5,45154.4,12541.9,5330.8,3.71,31502.1,29424.5,,0.4,28752,21164.98,306.5,6905.7,14545.3,44869.6,12059.8,3410.1,4.05,306.25,300.05,41711.2
Bharat Heavy Electricals Ltd.,384327.7,331707.4,3,,349087.8,259151.66,9498.1,280237.3,1221.9,544094.8,416852.1,14269.9,7.35,459906.5,419720.8,42.7,,401068,287455.49,7564.8,313465.7,1595.9,677157.4,490661.2,26586.1,5.01,410.07,232.45,483337.3
Bharat Petroleum Corpn. Ltd.,1337731.1,1215140.1,40.7,,1362254.3,1145515.33,18197.1,145505.6,121513.3,545666.5,194900.3,-15466,1.43,1650841,1508953.3,,76.9,1655936.2,1432628.17,11154.5,195058.9,148603.2,571988.2,238588.3,30091,1.57,322.57,371.98,481777.4
Bharti Airtel Ltd.,368381,355891,,171,274114,200752.7,11389,122848,43667,613388,46038,126282,3.23,385095,380096,5,246,307926,229357.4,2102,133996,99131,796311,35530,132302,3.08,383.45,305.05,533022.5
