,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,NSE,,,,,,,,,,,,,,,,,,,,,,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,,,,,,,,,,,,,,,,,,,,,,
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs.,Times,Rs.,,,,,,,,,,,,,,,,,,,,,,
,Mar-10,Mar-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,Apr-12,2-Jul-12,2-Jul-12,1-Jul-13,,,,,,,,,,,,,,,,,,,,,,
Company Name,Total assets,Total assets,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Total term liabilities,Average total assets,Net sales,Cost of goods sold,Current ratio (times),Net cash flow from operating activities,Income from financial services,Total income,Total expenses,Extra-ordinary income,Extra-ordinary expenses,Total term liabilities,Average total assets,Net sales,Cost of goods sold,Current ratio (times),Net cash flow from operating activities,Income from financial services,Adjusted Opening Price ,P/B ,Adjusted Closing Price ,BM Ratio,Returns,ROA-This Year,ROA-Last Year,Delta_ROA,CFO,NegAccrual,Dliquid,Dlever,Net Sales-This Year,Net Sales-Last Year,Delta_Margin,Delta_Turn,F_ROA,F_DROA,F_CFO,F_Naccrual,F_LIQUID,F_LEVER,F_MARGIN,F_TURN,F_SCORE
A B B India Ltd.,57812.2,60502.9,66952.3,66417.7,,41.9,,59087.55,62947.7,54491.6,1.43,2206.8,133.1,78176.8,77175.1,0,35.3,0,63634.1,74191.9,62534.57,1.34,1180.8,414.6,801,6.47,621.8,0.1545595054,-0.2237203496,0.0171396743,0.009971943638,0.007167730658,0.01951641987,0.002376745577,-0.09,0,74191.9,62947.7,0.0227886965,0.1005848584,1,1,1,1,0,1,1,1,7
A C C Ltd.,102436.9,122387.3,90486.1,79842.5,,383.7,5138.9,112412.1,75512.8,37336.71,0.51,19353.8,1011.2,111455.6,99132,0,94.4,5107.3,122019.95,92517.8,44727.8,0.92,14738.9,1919.1,1265.25,3.17,1220.05,0.3154574132,-0.03572416518,0.1014647762,0.1076496848,-0.006184908665,0.1204283451,0.01896356893,0.41,-0.003858559407,92517.8,75512.8,0.01099138213,0.0864688862,1,0,1,1,1,1,1,1,7
Aban Offshore Ltd.,57131,56723.2,12673.2,10333.7,4.1,,25022.7,56927.1,11887.8,3251.58,0.54,5625.1,709.1,7144.3,8351.6,0,,21587.6,54320.4,6368.5,2422.41,0.52,2513.4,545.9,391,0.96,255.75,1.041666667,-0.3459079284,-0.02128406014,0.04087798218,-0.06216204232,0.04430991199,0.06559397213,-0.02,-0.0421445168,6368.5,11887.8,-0.1068512796,-0.09158540711,0,0,1,1,0,1,0,0,3
Adani Enterprises Ltd.,80636.4,116502.3,34628.1,34159.6,65.6,557.7,7968.1,98569.35,29087.7,25407.64,1.63,-4074.6,5051.6,57664,55588.5,525,520.5,11873.5,129325.6,52714.4,44651.2,1.02,2015.9,4278.8,224,2.48,216.15,0.4032258065,-0.03504464286,0.01777647308,0.0119127342,0.005863738883,0.01730352105,-0.0004729520361,-0.61,0.01097340038,52714.4,29087.7,0.02644408319,0.1125111081,1,1,1,0,0,0,1,1,5
Adani Ports & Special Economic Zone Ltd.,80770.3,85106.2,20052.9,10191.3,329.1,,15476.3,82938.25,17289.6,6285.39,0.27,12591.6,2338.8,25221.5,13448.9,9.5,0,46965,108443.3,23061.7,8156.28,0.49,12874.4,2061.4,121.45,4.43,151.55,0.2257336343,0.2478386167,0.1382167222,0.1180198662,0.02019685595,0.1512745252,0.01305780307,0.22,0.246483192,23061.7,17289.6,0.009863777144,0.004197837552,1,1,1,1,1,0,1,1,7
Adani Power Ltd.,168386.1,259012.2,21942.8,16705.3,6.6,,153418.3,213699.15,20576.5,9212.45,0.51,14502,865.5,41942.7,44881.9,28.6,,206848.3,310098.6,38015.1,27790.28,0.64,5407.8,2390.8,50.3,2.13,42.6,0.4694835681,-0.1530815109,-0.01145814753,0.03106491569,-0.04252306322,0.02087855321,0.03233670074,0.13,-0.05087680272,38015.1,20576.5,-0.2833156127,0.02630312948,0,0,1,1,1,1,0,1,5
Aditya Birla Nuvo Ltd.,98850.9,102486.5,68044.9,65873.8,,8.1,17954.8,100668.7,64500.4,47059.87,0.9,3321.1,586.5,90819.3,88327.4,0.9,1038.8,16907.4,114004.05,84204.6,64384.55,0.81,3965.2,1729,820,1.6,1095,0.625,0.3353658537,0.03444160938,0.0220453228,0.01239628658,0.0386899738,0.004248364419,-0.09,-0.03005008028,84204.6,64500.4,-0.0350144785,0.09789109335,1,1,1,1,0,1,0,1,6
Allahabad Bank,1217041,1512910.5,124765.6,110534.5,0.4,0.4,66060.1,1356311.1,,12469.8,3.1,53608.3,121377.4,170636.5,151968.6,1,0.6,90825.5,1662622.1,,13574.82,4.21,124247.9,168425.5,148.5,0.74,94.65,1.351351351,-0.3626262626,0.01233879995,0.01169319686,0.0006456030886,0.08212508275,0.0697862828,1.11,0.005922154023,168425.5,121377.4,0.0221373992,0.01181030599,1,1,1,1,1,0,1,1,7
Alok Industries Ltd.,121964.3,142969.7,67553.5,65735.4,,17.4,77370.9,132467,65123.6,44901.24,1.43,11260.8,1196.5,94715.4,106076.7,220.5,,93777,163155.75,90212.2,60727.29,1.42,-1153.9,1758.2,17.76,0.4,7.15,2.5,-0.5974099099,-0.08100877319,0.01504948579,-0.09605825898,-0.008070940906,0.07293783228,-0.01,-0.00930697543,90212.2,65123.6,0.01631673641,0.06129944265,0,0,0,1,0,1,1,1,4
Alstom India Ltd.,30796.2,31967.7,19033.7,17345.6,2481.2,2729.1,15.1,31308.7,15719,11092.15,0.81,2739,419.1,25392.1,23729.7,6.7,0,14,31832.7,24137.6,18297.03,0.66,-1271,572.8,387.9,3.66,340.75,0.2732240437,-0.1215519464,0.05179290346,0.06286489892,-0.01107199545,-0.03975888162,-0.09155178508,-0.15,-0.00004249473299,24137.6,15719,-0.05237781494,0.2561993793,1,0,0,0,0,1,0,1,3
