,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,06/13,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2013,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,06/14,Jun 2014,Jun 2014,Jun 2014,Jun 2014,Jun 2014,31 Jul 2014,31 Jul 2015
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Total term liabilities,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
A C C Ltd.,ACC,129764.6,123563,2204.7,,118769.3,56077.02,30.3,25566.1,123517.2,23577.3,9605.1,2.66,136856.9,129488.4,1791.3,,125286.8,59410.12,0,28469.4,129204.7,23650.7,12232.2,3.19,262073.74,260477.91
Adani Enterprises Ltd.,ADANIENT,128330.6,118867.7,9057.3,62.7,123972.9,101416.97,21538.7,45869,203514.8,64289.4,-438.3,2.15,130196.4,117864.4,11297.2,78.2,135031.2,102900.68,49141.5,57542,226898.1,45802.2,3870.3,4.03,477097.61,95848.45
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,35642.9,29804.9,5732.6,0,18101.1,9937.32,78845.5,23172.9,182567.4,32115,13470.9,4.15,50322.9,41138.6,7902.3,1099.7,30161.2,17315.76,83237,14050,209058.3,26737.1,15664.3,4.16,539351.95,673059.32
Adani Power Ltd.,ADANIPOWER,69196.8,63401.3,5659.3,70.1,88717.1,59179.74,255787.5,36900.4,379833.9,39561.9,,2.09,114738.3,100262.9,6091.7,8297.7,108785.7,78550.8,237599.3,50999.1,409611.4,43645.4,33858.9,1.79,162550.79,80441.99
Aditya Birla Nuvo Ltd.,ABIRLANUVO,104908.7,102816.2,1951.7,0,100820.2,75438.05,16947.5,20274.8,136482.6,44494.1,11.7,1.77,86512.7,82521.9,3525.6,240.6,81824.8,56348.04,16193.7,18283.6,146020.5,33031.9,9881.8,1.75,192044.44,286274.07
Allahabad Bank,ALBK,197845.2,,194606.1,0.9,185993.1,14849.2,100975.8,41568.9,2044291.5,143112.6,,0.6,211153.9,,203247,0.5,199433.7,17010.53,121307.7,52861.1,2204342.9,164795.2,,0.45,66142.8,52538.26
Ambuja Cements Ltd.,AMBUJACEM,111063.1,103762.2,3280.2,387.3,96934.1,47097.3,404.8,18860.2,131007.2,38140.1,12275.1,2.98,119040.1,112522.1,3813,73.2,103917.4,50610.38,291.5,19705.4,140413.1,39141.5,16036.9,3.51,319566.64,360505.77
