,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
A B B India Ltd.,ABB,46830,46218.9,217.1,7.1,43957,34608.16,3403.1,15.4,19363.3,32556.6,26521.3,2453.1,13.35,3720.65
A C C Ltd.,ACC,67790.1,64680.6,771.3,1622.7,55159.3,24362.19,12318.4,7711.6,11033.1,60132,14661,14009.8,6.48,1086.55
Allahabad Bank,ALBK,44378.8,,42603.5,103.8,37317.5,5540.38,7061.3,11683.8,19853.9,552984.9,72202,-9692.2,1.16,79.05
Alok Industries Ltd.,ALOKTEXT,15033.7,14864.8,152.7,,14144.4,10554.19,1095.2,21451.9,1706.6,33277.5,13563.2,3039.4,1.44,73.7
Andhra Bank,ANDHRABANK,31395.1,,29581.1,4.6,26540.1,4442.88,4855,13885,23854.9,406732.9,66900.3,21393.6,1.35,80.75
Ashok Leyland Ltd.,ASHOKLEY,62878.8,62005.4,455.5,344.9,62611.7,43949.29,3273.2,6919.2,11269.3,37195.9,19946.5,3220.2,3.55,40.3
Aurobindo Pharma Ltd.,AUROPHARMA,15106.4,14757.3,158.9,28.7,14661.3,11905.45,693.8,12054.4,2840.3,25259.3,11744.3,275.1,4.02,683.2
Bank Of Baroda,BANKBARODA,86665.9,,79517.8,5.7,78396.3,12634.89,8269.6,70722,45566.7,1133925.3,160378.8,-24440.6,1.07,230.55
