,NSE,NSE,NSE,NSE,NSE,NSE,NSE
,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ
,Nos.,Rs. Million,Rs.,Rs. Million,Rs. Million,Times,Times
,31 Jan 2006,31 Jan 2006,31 Jan 2006,31 Jan 2006,31 Jan 2006,31 Jan 2006,31 Jan 2006
Company Name,Shares Outstanding ,Market Capitalisation,BV per Share ,Turnover ,Enterprise value,Market Capitalisation / Enterprise Value,Enterprise Value / PBDITA
A B B India Ltd.,42381675.00,107191.73,209.77,303.15,102741.93,1.04,25.42
A C C Ltd.,185191036.00,106336.69,115.36,214.40,113517.69,0.94,12.27
Allahabad Bank,446700000.00,37478.13,69.47,53.72,11834.53,3.17,0.40
Alok Industries Ltd.,157468456.00,11967.60,51.44,92.87,20969.00,0.57,7.96
Andhra Bank,485000000.00,45056.50,60.80,54.46,25956.10,1.74,1.15
Arvind Ltd.,209378441.00,19535.01,71.07,261.79,36816.91,0.53,8.74
Ashok Leyland Ltd.,1189294200.00,36451.87,11.24,138.52,35335.07,1.03,7.13
Aurobindo Pharma Ltd.,53270000.00,28715.19,171.61,385.50,36868.39,0.78,24.69
Axis Bank Ltd.,278624146.00,93910.27,101.71,81.74,74581.07,1.26,4.00
Bajaj Auto Ltd.,,,,,,,
Ballarpur Industries Ltd.,162429154.00,20449.83,97.30,122.19,30835.93,0.66,6.49
Bank Of Baroda,364265500.00,90993.52,216.26,64.06,29859.82,3.05,0.52
Bank Of India,487400200.00,63288.92,97.36,102.31,71113.12,0.89,1.33
Bharat Electronics Ltd.,80000000.00,88668.00,236.45,127.06,75662.40,1.17,8.95
Bharat Forge Ltd.,220509415.00,85017.40,51.47,150.77,89115.10,0.95,25.51
Bharat Heavy Electricals Ltd.,244760000.00,439491.06,279.38,1019.47,413082.26,1.06,17.41
Bharat Petroleum Corpn. Ltd.,300000000.00,124275.00,161.47,44.77,149004.50,0.83,6.95
Bharti Airtel Ltd.,1892921313.00,676246.14,32.06,142.89,717636.94,0.94,21.52
Bongaigaon Refinery & Petrochemicals Ltd. [Merged],199817900.00,13717.50,45.17,16.98,13808.20,0.99,1.93
C E S C Ltd.,82317511.00,21003.31,193.59,181.24,41009.51,0.51,4.69
Canara Bank,410000000.00,102787.00,166.87,314.87,43037.20,2.39,0.60
Century Textiles & Inds. Ltd.,93045680.00,28588.29,89.84,178.58,37073.19,0.77,11.60
Chambal Fertilisers & Chemicals Ltd.,416207852.00,15815.90,24.49,14.35,27275.70,0.58,5.12
Chennai Petroleum Corpn. Ltd.,148943200.00,34301.62,164.89,19.59,58179.22,0.59,4.38
Cipla Ltd.,299870233.00,132617.61,65.12,134.18,134234.91,0.99,22.84
Colgate-Palmolive (India) Ltd.,135992817.00,46523.14,25.76,236.81,44500.14,1.05,21.87
Corporation Bank,143440000.00,48776.77,236.97,63.03,25349.97,1.92,1.14
Cummins India Ltd.,198000000.00,35145.00,41.44,103.23,34432.00,1.02,14.87
Dabur India Ltd.,573302784.00,67793.05,8.32,222.00,67734.65,1.00,35.39
Divi'S Laboratories Ltd.,12818700.00,21587.33,258.41,15.13,22203.33,0.97,18.29
Dr. Reddy'S Laboratories Ltd.,76538949.00,85819.30,300.40,275.95,79475.20,1.08,31.03
Escorts Ltd.,72232240.00,6049.45,72.53,38.07,11207.55,0.54,2.20
Essar Oil Ltd.,1083577314.00,47135.61,22.86,120.72,91289.61,0.52,84.83
Federal Bank Ltd.,83499531.00,15100.89,144.35,53.06,4101.19,3.68,0.36
G A I L (India) Ltd.,845651600.00,247310.81,124.48,341.18,225935.31,1.09,5.66
Glaxosmithkline Pharmaceuticals Ltd.,84703017.00,108657.03,111.99,112.27,100366.43,1.08,14.12
