||||||||||||||||||||||||||NSE|NSE
||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
||Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million
||Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|31 Jul 2008|31 Jul 2009
Company Name|NSE symbol|Total income|Sales|Income from financial services|Extra-ordinary income|Total expenses|Cost of goods sold|Borrowings|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Sales|Income from financial services|Extra-ordinary income|Total expenses|Cost of goods sold|Borrowings|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Market Capitalisation|Market Capitalisation
3I Infotech Ltd.|3IINFOTECH|5230.50|3323.70|120.10|1497.40|4587.60|2259.86|5460.10|812.80|11590.40|3035.10|1127.20|3.78|5708.40|4472.70|148.90||4703.80|2210.03|12621.10|913.70|21241.40|3592.60|1993.50|2.37|14080.66|10109.38
A B B India Ltd.|ABB|64543.20|64014.10|277.30||60159.90|46942.94|5.60|28336.30|47239.80|38893.50|2724.80|19.88|74706.60|73709.80|639.40|46.00|69970.30|54692.43|0.20|31618.90|56082.30|44661.50|196.70|4.57|163444.93|148463.01
A C C Ltd.|ACC|82928.10|78666.20|1223.40|2014.30|68611.50|28766.43|3064.10|15549.20|71195.70|17759.30|20217.50|4.63|86199.30|82746.10|1367.90|122.90|74074.70|32528.70|4820.30|18017.90|86462.20|21054.60|17070.50|1.83|109475.92|165327.41
A I A Engineering Ltd.|AIAENG|4370.70|4282.70|79.60|0.50|3871.60|2786.17||375.50|5553.50|1828.80|410.70|5.30|6671.90|6400.80|259.10|0.90|5694.30|4193.74||424.70|7061.70|2458.50|56.50|5.39|23954.63|21236.23
Aban Offshore Ltd.|ABAN|5645.80|4967.10|554.50|119.10|4649.80|2160.66|10349.70|932.70|18976.40|3060.50|1888.80|20.99|7387.80|6858.40|478.70||5796.80|2597.14|14563.20|1247.20|27093.60|2846.20|1983.00|16.12|94595.82|39270.92
Aditya Birla Nuvo Ltd.|ABIRLANUVO|36930.90|35502.40|789.10|54.30|35133.10|24765.47|28318.30|3937.30|66167.80|11010.10|4832.90|3.20|42600.40|41355.60|225.20|326.40|41001.40|28714.12|27434.20|5591.10|76938.30|16361.30|2787.10|3.64|126104.18|83104.63
Allahabad Bank|ALBK|54675.40||54005.50|0.60|47174.00|5299.07|18390.50|18042.00|676759.40|64422.00|10039.60|0.90|73059.20||72772.30||63311.80|5880.15|36538.90|24385.20|829435.30|84237.60|53346.70|0.79|26556.31|39532.95
