|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|01 Jul 2014|30 Jun 2015
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
A C C Ltd.|129764.60|109075.70||157.80|118769.30|56077.02|2204.70|25566.10|30.30|123517.20|23577.30|9605.10|2.66|136856.90|114333.70||158.80|125286.80|59410.12|1791.30|28469.40|0.00|129204.70|23650.70|12232.20|3.19|1480.60|1444.55
Adani Enterprises Ltd.|128330.60|118833.70|62.70|61.70|123972.90|101416.97|9057.30|45869.00|21538.70|203514.80|64289.40|-438.30|2.15|130196.40|117854.10|78.20|16.30|135031.20|102900.68|11297.20|57542.00|49141.50|226898.10|45802.20|3870.30|4.03|458.60|90.85
Adani Ports & Special Economic Zone Ltd.|35642.90|29750.70|0.00|52.70|18101.10|9937.32|5732.60|23172.90|78845.50|182567.40|32115.00|13470.90|4.15|50322.90|41093.00|1099.70|0.00|30161.20|17315.76|7902.30|14050.00|83237.00|209058.30|26737.10|15664.30|4.16|244.20|307.90
Adani Power Ltd.|69196.80|62115.60|70.10|2416.90|88717.10|59179.74|5659.30|36900.40|255787.50|379833.90|39561.90||2.09|114738.30|98761.70|8297.70|1381.60|108785.70|78550.80|6091.70|50999.10|237599.30|409611.40|43645.40|33858.90|1.79|63.55|29.20
Aditya Birla Nuvo Ltd.|104908.70|97199.60|0.00|30.20|100820.20|75438.05|1951.70|20274.80|16947.50|136482.60|44494.10|11.70|1.77|86512.70|80031.70|240.60|415.70|81824.80|56348.04|3525.60|18283.60|16193.70|146020.50|33031.90|9881.80|1.75|1398.65|1786.60
Allahabad Bank|197845.20||0.90|0.40|185993.10|14849.20|194606.10|41568.90|100975.80|2044291.50|143112.60||0.60|211153.90||0.50|0.20|199433.70|17010.53|203247.00|52861.10|121307.70|2204342.90|164795.20||0.45|141.30|86.75
Ambuja Cements Ltd.|111063.10|90594.90|387.30|92.10|96934.10|47097.30|3280.20|18860.20|404.80|131007.20|38140.10|12275.10|2.98|119040.10|98730.10|73.20|52.40|103917.40|50610.38|3813.00|19705.40|291.50|140413.10|39141.50|16036.90|3.51|223.75|229.90
Andhra Bank|139672.50||4.80||126781.20|9603.22|134800.70|23051.00|111193.40|1463268.00|82514.70|36059.70|0.63|156306.00||6.00||151950.20|10734.74|150648.80|24080.90|131850.90|1673919.10|115964.90|98269.20|0.43|100.85|68.00
Apollo Hospitals Enterprise Ltd.|33544.20|33111.70||38.10|30453.10|23838.21|355.80|3042.30|9651.10|43615.00|9045.00|3372.50|4.28|38840.90|38538.00|0.00|28.10|35533.70|28015.50|224.60|3519.30|10650.40|48566.30|9543.10|3030.90|4.30|989.25|1315.95
